GeneID	Symbol
90120	C9orf69
152274	LOC152274
10518	CIB2
10519	CIB1
152273	FGD5
10512	SEMA3C
10513	APPBP2
10516	FBLN5
10517	FBXW10
10514	MYBBP1A
8867	SYNJ1
8864	PER2
8862	APLN
8863	PER3
8861	LDB1
8869	ST3GAL5
26834	RNU4-2
26835	RNU4-1
26836	RNU4-1B
343563	OR2T29
26832	RNU5B-1
149483	CCDC17
157739	TDH
100129206	LOC100129206
100129203	LOC100129203
100128157	LOC100128157
728036	CT47A10
728039	C21orf122
54033	RBM11
54039	PCBP3
168544	ZNF467
79724	ZNF768
79725	THAP9
79726	WDR59
79727	LIN28
79720	VPS37B
79722	ANKRD55
79723	SUV39H2
79728	PALB2
79729	C1orf113
282808	RAB40AL
282809	WDR51B
197258	FUK
197259	MLKL
197257	LDHD
55128	TRIM68
55129	ANO10
55120	FANCL
55122	AKIRIN2
55124	PIWIL2
55125	CEP192
55127	HEATR1
144193	AMDHD1
144195	SLC2A14
151195	CCNYL1
151194	FAM119A
729345	LOC729345
93589	CACNA2D4
23710	GABARAPL1
93587	RG9MTD2
27006	FGF22
27004	TCL6
27005	USP21
253175	CDY1B
27000	DNAJC2
92181	UBTD2
445815	PALM2-AKAP2
266553	OFCC1
55788	LMBRD1
55789	DEPDC1B
55784	MCTP2
55785	FGD6
55786	ZNF415
55787	CXorf15
55780	C6orf70
55781	RIOK2
55783	FTSJD1
9942	XYLB
9943	OXSR1
56479	KCNQ5
9941	EXOG
9946	CRYZL1
9947	MAGEC1
9945	GFPT2
9948	WDR1
9949	AMMECR1
56477	CCL28
56475	RPRM
56474	CTPS2
57786	RBAK
57787	MARK4
55879	GABRQ
55872	PBK
55870	ASH1L
55871	CBWD1
55876	GSDMB
253827	MSRB3
344887	LOC344887
26065	LSM14A
26064	RAI14
26063	DECR2
26062	HYALP1
26061	HACL1
26060	APPL1
64949	MRPS26
651581	LOC651581
64943	NT5DC2
64940	STAG3L4
64946	CENPH
285800	PRR18
387723	LOC387723
387720	LOC387720
440051	KRTAP5-11
440050	KRTAP5-7
100129940	LOC100129940
100129946	LOC100129946
83439	TCF7L1
345757	FAM174A
133308	NHEDC2
100131621	LOC100131621
797	CALCB
796	CALCA
795	S100G
794	CALB2
793	CALB1
790	CAD
799	CALCR
198437	C20orf201
23500	DAAM2
339766	HEATR7B1
339760	LOC339760
339761	CYP27C1
339768	ESPNL
284385	LOC284385
133874	LOC133874
643162	DKFZP779L1853
643160	CYMP
643161	FAM25A
653489	RGPD3
100240734	LOC100240734
100240735	LOC100240735
653483	C6orf124
653486	hCG_1741344
400360	C15orf54
6935	ZEB1
4761	NEUROD2
4760	NEUROD1
4763	NF1
4762	NEUROG1
201176	ARHGAP27
201175	SH3D20
124093	CCDC78
400099	LOC400099
404785	POTEG
130749	CPO
641451	SNORA19
641455	P704P
202865	C7orf33
80148	PQLC1
80149	ZC3H12A
140461	ASB8
140460	ASB7
140467	ZNF358
140465	MYL6B
140469	MYO3B
80143	RP5-1000E10.4
80144	FRAS1
80145	THOC7
80146	UXS1
283971	CLEC18C
54838	C10orf26
10357	HMGB1L1
10350	ABCA9
10351	ABCA8
10352	WARS2
401577	LOC401577
6259	RYK
6258	RXRG
6253	RTN2
6252	RTN1
6251	RSU1
6257	RXRB
6256	RXRA
283658	LOC283658
125058	TBC1D16
125050	RN7SK
832	CAPZB
833	CARS
830	CAPZA2
831	CAST
836	CASP3
285349	ZNF660
834	CASP1
835	CASP2
285346	ZNF852
839	CASP6
285343	C3orf23
646486	FABP12
646484	LOC646484
646482	LOC646482
134111	FLJ25076
653308	ASAH2B
728233	PI4KAP1
100130238	LOC100130238
100130233	LOC100130233
100130232	LOC100130232
728239	MAGED4
100130236	LOC100130236
399694	SHC4
80853	JHDM1D
80851	SH3BP5L
80856	KIAA1715
80854	SETD7
399693	MGC50722
391322	LOC391322
1728	NQO1
1729	DIAPH1
5245	PHB
1727	CYB5R3
1725	DHPS
5241	PGR
1723	DHODH
1720	LOC1720
100127933	LOC100127933
100127937	LOC100127937
162972	ZNF550
162979	ZNF296
121274	ZNF641
7287	TULP1
207107	SFTA1P
9454	HOMER3
284439	SLC25A42
57017	COQ9
284434	NWD1
283420	CLEC9A
284433	OR10H5
282770	OR10AG1
388152	LOC388152
282775	OR5J2
9452	ITM2A
100131541	UNQ6228
129607	CMPK2
256472	TMEM151A
256471	MFSD8
467	ATF3
283284	IGSF22
149628	PYHIN1
7776	ZNF236
7775	ZNF232
7773	ZNF230
7772	ZNF229
7771	ZFP112
7770	ZNF227
50848	F11R
7779	SLC30A1
374928	ZNF773
389400	GFRAL
131474	CHCHD4
653441	PHC1B
79048	SECISBP2
100169851	PATE3
119774	OR52K2
119772	OR52M1
81488	GRINL1A
100132169	LOC100132169
100132167	LOC100132167
2550	GABBR1
2551	GABPA
2553	GABPB1
2554	GABRA1
167227	DCP2
2556	GABRA3
2557	GABRA4
2558	GABRA5
2559	GABRA6
116496	FAM129A
57232	ZNF630
201232	SLC16A13
57231	SNX14
57234	FAM91A2
57235	KIAA0485
386653	IL31
100133781	LOC100133781
387521	TMEM189
387522	TMEM189-UBE2V1
116143	WDR92
94134	ARHGAP12
94137	RP1L1
55157	DARS2
100132788	LOC100132788
90624	LYRM7
90625	C21orf105
90627	STARD13
100132785	LOC100132785
100132787	LOC100132787
919	CD247
915	CD3D
914	CD2
917	CD3G
113510	HELQ
911	CD1C
910	CD1B
913	CD1E
912	CD1D
64216	TFB2M
64215	DNAJC1
64210	MMS19
64211	LHX5
64218	SEMA4A
64219	PJA1
649137	ZSCAN5C
347516	DGAT2L6
347517	RAB41
125931	CEACAM20
644732	LOC644732
55153	SDAD1
100134259	LOC100134259
196740	C10orf72
196743	PAOX
728917	FAM108A2
728912	NBPF11
728911	CT45A2
166979	CDC20B
150166	LOC150166
150165	XKR3
79089	TMUB2
79088	ZNF426
100129434	LOC100129434
79081	C11orf48
79080	CCDC86
79083	MLPH
79085	SLC25A23
79084	WDR77
79087	ALG12
79086	C19orf42
65263	PYCRL
644083	LOC644083
144017	LOC144017
92579	G6PC3
26648	OR7E24
145942	TMCO5A
145946	SPATA8
145945	LOC145945
1447	CSN2
1446	CSN1S1
1445	CSK
1444	CSHL1
1443	CSH2
1442	CSH1
1441	CSF3R
23038	WDTC1
23037	PDZD2
23036	ZNF292
23035	PHLPPL
23034	SAMD4A
23033	DOPEY1
23032	USP33
23031	MAST3
1448	CSN3
199920	C1orf168
100151643	KRTAP20-4
197196	TMEM148
642361	LOC642361
642366	LOC642366
4725	NDUFS5
4724	NDUFS4
28614	TRBV5-1
440670	NBPF9
440672	NUDT4P1
440675	NBPF12
92399	MRRF
728163	LOC728163
130589	GALM
93624	TADA2B
93627	TBCKL
93621	MRFAP1
93622	LOC93622
221711	SYCP2L
221710	LOC221710
56623	INPP5E
221718	C6orf218
56624	ASAH2
51160	VPS28
51161	C3orf18
51162	EGFL7
51163	DBR1
51164	DCTN4
51166	AADAT
51167	CYB5R4
51168	MYO15A
65979	PHACTR4
65975	STK33
65977	PLEKHA3
199	AIF1
197	AHSG
196	AHR
191	AHCY
190	NR0B1
389692	MAFA
389362	PSMG4
57575	PCDH10
57574	MARCH4
390439	OR11G2
57576	KIF17
57571	ATPGD1
57570	TRMT5
57573	ZNF471
57572	DOCK6
390433	OR4K13
390431	OR4K2
57579	FAM135A
390436	OR4K17
441204	hCG_2009921
441208	LOC441208
619505	SNORA21
113251	LARP4
3452	IFNA21
84750	FUT10
3451	IFNA17
3456	IFNB1
84757	MGC10814
3455	IFNAR2
84759	PCGF1
3458	IFNG
3459	IFNGR1
204010	RPSAP52
134466	LOC134466
572558	LOC572558
553158	LOC553158
400932	RP11-191L9.1
400931	LOC400931
400934	FLJ44385
400935	IL17REL
54737	MPHOSPH8
171391	NS3BP
171392	ZNF675
100131781	LOC100131781
54733	SLC35F2
343169	OR6F1
91894	C11orf52
5729	PTGDR
55076	TMEM45A
339352	LOC339352
91893	FDXACB1
51555	PEX5L
340260	UNCX
6478	SIAH2
6473	SHOX
6472	SHMT2
6470	SHMT1
6477	SIAH1
6476	SI
6474	SHOX2
653567	FAM23A
653566	LOC653566
100216479	LOC100216479
154141	MBOAT1
4045	LSAMP
4046	LSP1
4047	LSS
4040	LRP6
4041	LRP5
646736	LOC646736
4043	LRPAP1
4048	LTA4H
4049	LTA
219833	C11orf45
400110	FLJ46358
90423	ATP6V1E2
90427	BMF
124685	hCG_1644301
90390	MED30
80264	ZNF430
80267	EDEM3
652779	LOC652779
80263	TRIM45
80262	C16orf70
246734	NPCDR1
100134017	LOC100134017
100134015	LOC100134015
124538	OR4D2
124535	HSF5
100134018	hCG_1774568
118881	COMTD1
125488	TTC39C
163059	ZNF433
168002	DACT2
163051	ZNF709
163050	ZNF564
654348	PRAMEF16
203522	DDX26B
203523	ZNF449
654342	LOC654342
654341	TBC1D3G
654346	LGALS9C
163589	TDRD5
27316	RBMX
256355	RPS2P32
1687	DFNA5
10394	PRG3
10395	DLC1
284600	LOC284600
29989	OBP2B
29988	SLC2A8
29980	DONSON
29982	NRBF2
29985	SLC39A3
29984	RHOD
29986	SLC39A2
151306	GPBAR1
151300	LOC151300
100131991	RPL29P8
100131993	LOC100131993
100131997	FAM27E3
100131998	LOC100131998
728798	FRMPD2L1
649264	LOC649264
160777	CCDC60
319	APOF
318	NUDT2
313	AOAH
312	ANXA13
311	ANXA11
310	ANXA7
317	APAF1
316	AOX1
314	AOC2
126792	B3GALT6
79660	PPP1R3B
51362	CDC40
51363	GALNAC4S-6ST
51360	MBTPS2
51361	HOOK1
51366	UBR5
51367	POP5
51364	ZMYND10
51365	PLA1A
51368	TEX264
120796	OR56A1
120793	OR56A4
79668	PARP8
151878	LOC151878
100132083	LOC100132083
100132080	LOC100132080
151871	DPPA2
151877	LOC151877
253650	ANKRD18A
729442	GAGE12H
729440	CCDC61
729446	LOC729446
729447	GAGE2A
729444	LOC729444
155370	SBDSP
100134868	CTD-2514C3.1
100134869	LOC100134869
2299	FOXI1
2298	FOXD4
386597	LOC386597
6934	TCF7L2
2290	FOXG1
2297	FOXD1
2296	FOXC1
2295	FOXF2
2294	FOXF1
6938	TCF12
149345	SHISA4
283232	TMEM80
166348	KLHDC6
10916	MAGED2
10917	BTNL3
116840	CNTROB
116841	SNAP47
10912	GADD45G
10913	EDAR
10910	SUGT1
10911	UTS2
389616	OR7E125P
389611	FAM90A3
389610	XKR5
10919	EHMT2
57007	CXCR7
57001	ACN9
57000	C9orf31
57003	CCDC47
57002	C7orf36
158511	CSAG1
341799	OR6S1
33	ACADL
124944	C17orf49
81671	TMEM49
100128385	C9orf110
152742	LOC152742
166968	MIER3
56977	STOX2
56975	FAM20C
56970	ATXN7L3
56971	CEACAM19
22953	P2RX2
22952	CYP2G1P
22950	SLC4A1AP
22955	SCMH1
22954	TRIM32
199713	NLRP7
2740	GLP1R
90987	ZNF251
2742	GLRA2
2745	GLRX
2744	GLS
2747	GLUD2
2746	GLUD1
728897	LOC728897
645651	FAM90A14
114824	PNMA5
114822	RHPN1
54726	OTUD4
54729	NKX1-1
3049	HBQ1
3048	HBG2
3040	HBA2
3043	HBB
3042	HBM
3045	HBD
3044	HBBP1
3047	HBG1
3046	HBE1
115761	ARL11
222070	LOC222070
91298	C12orf29
643714	LOC643714
29044	C9orf38
729857	RGPD2
441461	LOC441461
729852	tcag7.903
100129662	LOC100129662
100128398	LOC100128398
338645	LUZP2
3959	LGALS3BP
3958	LGALS3
441795	LOC441795
91833	WDR20
55094	GPATCH1
55095	SAMD4B
55096	FLJ10213
3950	LECT2
3957	LGALS2
3956	LGALS1
3955	LFNG
55093	WDYHV1
144203	OVOS2
221035	REEP3
221037	JMJD1C
338398	TAS2R60
642446	LOC642446
130951	C2orf65
117852	TRIMP1
55540	IL17RB
728279	KRTAP2-2
55547	HAB1
117854	TRIM6
55545	MSX2P1
493829	TRIM72
165082	GPR113
266743	NPAS4
121129	OR2AP1
391622	DUB4
391627	USP17
51645	PPIL1
51647	FAM96B
51646	YPEL5
51643	TMBIM4
51642	MRPL48
93474	ZNF670
51649	MRPS23
391192	OR2L3
391191	OR2AK2
391190	OR2L8
391196	OR2M7
391195	OR2T33
391194	OR2M2
439933	MGC42157
439931	FLJ39582
439936	C5orf17
439934	C4orf11
439935	MGC24125
439938	LOC439938
128239	IQGAP3
85369	FAM40A
85368	KIAA1654
253512	SLC25A30
85363	TRIM5
85360	SYDE1
85367	KIAA1652
85366	MYLK2
85365	ALG2
85364	ZCCHC3
84099	ID2B
644903	hCG_1993592
646871	RP11-251J8.3
641367	LOC641367
641364	LOC641364
641365	LOC641365
552900	BOLA2
79968	WDR76
79969	C6orf134
167681	PRSS35
284040	CDRT4
2175	FANCA
284047	CCDC144B
7128	TNFAIP3
7126	TNFAIP1
7127	TNFAIP2
7124	TNF
7125	TNNC2
7122	CLDN5
7123	CLEC3B
7120	TMSL6
84541	KBTBD8
84542	KIAA1841
132949	AASDH
84545	MRPL43
84547	PGBD1
84548	TMEM185A
84549	MAK16
132946	ARL9
590	BCHE
593	BCKDHA
595	CCND1
594	BCKDHB
597	BCL2A1
596	BCL2
599	BCL2L2
598	BCL2L1
3960	LGALS4
171568	POLR3H
5579	PRKCB
5578	PRKCA
5577	PRKAR2B
5576	PRKAR2A
5575	PRKAR1B
5573	PRKAR1A
5571	PRKAG1
5570	PKIB
11228	RASSF8
11227	GALNT5
11226	GALNT6
11224	RPL35
11223	MSTP9
11222	MRPL3
11221	DUSP10
58160	NF-E4
8714	ABCC3
8717	TRADD
100132532	LOC100132532
81787	DKFZP547L112
222658	KCTD20
401474	SAMD12
401472	FLJ45248
81788	NUAK2
161882	ZFPM1
159296	NKX2-3
9119	KRT75
9118	INA
152586	LOC152586
9111	NMI
9110	MTMR4
9113	LATS1
9112	MTA1
9114	ATP6V0D1
9117	SEC22C
100133660	LOC100133660
219972	MPEG1
219970	GLYATL2
100133666	LOC100133666
100133669	hCG_1994695
162282	ANKFN1
81309	OR4C15
159125	RBMY2EP
64089	SNX16
64087	MCCC2
64084	CLSTN2
64083	GOLPH3
81300	OR4P4
64081	PBLD
64080	RBKS
254531	LPCAT4
494119	SPANXN2
494118	SPANXN1
149775	GNASAS
149773	LOC149773
400707	LOC400707
51657	STYXL1
400709	SIGLEC16
10664	CTCF
10665	C6orf10
10666	CD226
10667	FARS2
10660	LBX1
10661	KLF1
10663	CXCR6
140597	TCEAL2
10668	CGRRF1
10669	CGREF1
140596	DEFB104A
51650	MRPS33
158983	H2BFWT
10592	SMC2
10590	SCGN
10591	C6orf108
10597	TRAPPC2P1
10594	PRPF8
10595	ERN2
10598	AHSA1
10599	SLCO1B1
285051	C2orf61
256006	ANKRD31
143630	UBQLNL
100130927	LOC100130927
100130924	LOC100130924
1349	COX7B
169270	ZNF596
1340	COX6B1
1345	COX6C
1346	COX7A1
1347	COX7A2
283598	C14orf177
59285	CACNG6
283596	SNHG10
59286	UBL5
283592	C14orf86
59283	CACNG8
92106	OXNAD1
92105	INTS4
92104	TTC30A
399761	BMS1P5
8372	HYAL3
8370	HIST2H4A
8379	MAD1L1
389136	VGLL3
389137	LOC389137
119678	OR52E2
119679	OR52J3
728613	LOC728613
221584	ZSCAN12L1
728619	LOC728619
350383	GPR142
132660	LIN54
151112	ZSWIM2
127077	OR2T11
127074	OR2T4
26353	HSPB8
26355	FAM162A
26354	GNL3
414245	C10orf103
51087	YBX2
51086	TNNI3K
51085	MLXIPL
55707	NECAP2
730747	RPL14P3
55701	FLJ10357
51081	MRPS7
55703	POLR3B
93273	LEMD1
51088	KLHL5
3628	INPP1
389792	IER5L
3621	ING1
3620	IDO1
3623	INHA
3622	ING2
3625	INHBB
3624	INHBA
3627	CXCL10
3626	INHBC
114659	LRRC37B
57703	CWC22
57700	FAM160B1
57701	KIAA1602
57706	DENND1A
57707	KIAA1609
57704	GBA2
57705	WDFY4
57708	MIER1
57709	SLC7A14
256586	LYSMD2
389860	PAGE2B
100132273	LOC100132273
113026	PLCD3
199692	ZNF627
199699	DAND5
340581	LOC340581
196872	MGC23270
9652	TTC37
9653	HS2ST1
9650	MTFR1
9651	PLCH2
9656	MDC1
9657	IQCB1
9654	TTLL4
9655	SOCS5
9658	ZNF516
9659	PDE4DIP
645191	LINGO3
645195	LOC645195
342527	SMTNL2
220965	FAM13C
645446	LOC645446
220963	SLC16A9
3364	HUS1
3360	HTR4
3361	HTR5A
3362	HTR6
3363	HTR7
4957	ODF2
4277	MICB
4276	MICA
646187	LOC646187
132299	OCIAD2
91316	LOC91316
91319	DERL3
143570	XRRA1
643696	LOC643696
643699	LOC643699
23181	DIP2A
23180	RFTN1
23187	PHLDB1
23186	RCOR1
23185	LARP5
23184	MESDC2
23189	KANK1
25923	ATL3
25921	ZDHHC5
25920	COBRA1
25927	CNRIP1
25926	NOL11
25925	ZNF521
25924	MYRIP
25929	GEMIN5
25928	SOSTDC1
56107	PCDHGA9
441617	LOC441617
652128	LOC652128
286178	LOC286178
23451	SF3B1
286177	LOC286177
23452	ANGPTL2
23457	ABCB9
23456	ABCB10
92667	C20orf72
56101	PCDHGB5
386618	KCTD4
6125	RPL5
6124	RPL4
6121	RPE65
6120	RPE
6123	RPL3L
6122	RPL3
6129	RPL7
6128	RPL6
493753	C2orf64
121227	LRIG3
440567	hCG_25371
440561	PRAMEF6
440560	PRAMEF11
440563	LOC440563
653657	MBD3L3
653656	MBD3L4
653650	PDPK2
653653	LOC653653
200407	CREG2
200403	VWA3B
128061	C1orf131
653382	LOC653382
391013	PLA2G2C
339874	LOC339874
138639	PTPDC1
646405	RP11-756A22.3
390940	LOC390940
400622	LOC400622
54923	LIME1
400620	LOC400620
400627	FLJ46026
400624	FLJ45079
54922	RASIP1
400629	TEX19
54921	CHTF8
8973	CHRNA6
8974	P4HA2
54926	UBE2R2
54925	ZNF434
146795	LOC146795
84665	MYPN
84664	CSPG4LYP2
84667	HES7
84666	RETNLB
84661	DPY30
84660	CCDC62
84663	CYorf15B
84662	GLIS2
285521	COX18
100131897	LOC100131897
84669	USP32
100131891	LOC100131891
285527	FRYL
390059	OR51M1
7080	NKX2-1
7083	TK1
7082	TJP1
7084	TK2
7087	ICAM5
7086	TKT
7089	TLE2
7088	TLE1
390053	OR52A4
390054	OR52A5
388228	SBK1
92370	ACPL2
8170	SLC14A2
8174	MADCAM1
8175	SF3A2
8178	ELL
152992	C4orf23
283209	PGM2L1
283208	P4HA3
6949	TCOF1
6948	TCN2
6943	TCF21
6942	TCF20
6941	TCF19
6940	ZNF354A
6947	TCN1
6945	MLX
6944	VPS72
7132	TNFRSF1A
650794	LOC650794
100130417	FLJ39609
100130413	LOC100130413
221946	LOC221946
126206	NLRP5
140032	RPS4Y2
126204	NLRP13
127670	TEDDM1
219438	OR5D18
219437	OR5L1
219436	OR5D14
28974	C19orf53
28973	MRPS18B
219432	OR4C6
219431	OR4S2
28970	C11orf54
261729	STEAP2
261726	TIPRL
201725	C4orf46
116412	ZNF837
154075	SAMD3
51306	FAM13B
148304	C1orf74
100132709	LOC100132709
100132708	C2orf14
80759	KHDC1
80758	PRR7
80755	AARSD1
80757	TMEM121
100133256	LOC100133256
200895	DHFRL1
200894	ARL13B
153396	TMEM161B
7867	MAPKAPK3
7866	IFRD2
7862	BRPF1
7869	SEMA3B
10417	SPON2
10413	YAP1
10412	TINP1
10411	RAPGEF3
10410	IFITM3
90007	MIDN
10419	PRMT5
10418	SPON1
9328	GTF3C5
9329	GTF3C4
9322	TRIP10
9320	TRIP12
9321	TRIP11
9326	ZNHIT3
9324	HMGN3
9325	TRIP4
8941	CDK5R2
54953	C1orf27
8943	AP3D1
8942	KYNU
8945	BTRC
8944	SNORD73A
54954	FAM120C
54955	C1orf109
54958	TMEM160
54959	ODAM
26973	CHORDC1
26974	ZNF285A
152048	FLJ31715
1432	MAPK14
58189	WFDC1
1990	CELA1
1993	ELAVL2
1992	SERPINB1
1995	ELAVL3
1994	ELAVL1
1997	ELF1
1996	ELAVL4
1999	ELF3
1998	ELF2
169841	ZNF169
2861	GPR37
2862	MLNR
2863	GPR39
2864	FFAR1
2865	FFAR3
2867	FFAR2
2868	GRK4
2869	GRK5
28560	TRBV27
28562	TRBV25-1
28563	TRBV24-1
151636	DTX3L
1439	CSF2RB
28568	TRBV19
79001	VKORC1
79000	C1orf135
79003	MIS12
79002	C19orf43
79005	SCNM1
79004	CUEDC2
79007	DBNDD1
79006	METRN
79009	DDX50
79008	GIYD2
115330	GPR146
148898	C1orf213
222950	C7orf51
91664	ZNF845
91663	MYADM
91662	NLRP12
91661	ZNF765
130502	TTC32
130507	UBR3
51473	DCDC2
23619	ZIM2
51471	NAT8B
51477	ISYNA1
51474	LIMA1
51475	CABP2
23613	ZMYND8
23612	PHLDA3
51478	HSD17B7
51479	ANKFY1
23617	TSSK2
23616	SH3BP1
23615	PYY2
23614	PPY2
150946	FAM59B
129521	NMS
730465	LOC730465
92312	MEX3A
51296	SLC15A3
51297	PLUNC
51294	PCDH12
51295	ECSIT
51292	GMPR2
51293	CD320
51290	ERGIC2
51291	GMIP
165904	XIRP1
51298	THEG
51299	NRN1
374819	LRRC37A3
341418	OR6C4
341416	OR6C2
26499	PLEK2
26492	OR8G2
26493	OR8B8
26496	OR10A3
26497	OR10D3P
26494	OR8G1
26495	OR9A1P
253943	YTHDF3
677850	SNORD1C
220441	RNF152
645221	LOC645221
