Ensembl ID	MIM_MORBID ID
ENSG00000000003	300191
ENSG00000000005	300459
ENSG00000000419	603503
ENSG00000000419	608799
ENSG00000000457	608192
ENSG00000000938	164940
ENSG00000000971	126700
ENSG00000000971	134370
ENSG00000000971	235400
ENSG00000000971	609814
ENSG00000000971	610698
ENSG00000001036	136820
ENSG00000001084	230450
ENSG00000001084	606857
ENSG00000001084	608446
ENSG00000001167	189903
ENSG00000001617	601124
ENSG00000001626	167800
ENSG00000001626	211400
ENSG00000001626	219700
ENSG00000001626	277180
ENSG00000001626	602421
ENSG00000001630	601637
ENSG00000001631	116860
ENSG00000001631	604214
ENSG00000002016	600392
ENSG00000002330	603167
ENSG00000002549	170250
ENSG00000002586	313470
ENSG00000002586	450000
ENSG00000002587	603244
ENSG00000002726	104610
ENSG00000002745	606267
ENSG00000002746	610384
ENSG00000002822	176807
ENSG00000002822	602686
ENSG00000002834	602920
ENSG00000002933	610334
ENSG00000003056	154540
ENSG00000003096	300655
ENSG00000003137	605207
ENSG00000003147	147625
ENSG00000003393	205100
ENSG00000003393	606352
ENSG00000003393	606353
ENSG00000003393	607225
ENSG00000003400	137215
ENSG00000003400	601762
ENSG00000003400	603909
ENSG00000003400	605027
ENSG00000003402	603599
ENSG00000003436	152310
ENSG00000003756	606884
ENSG00000003987	603562
ENSG00000003989	601872
ENSG00000004059	103188
ENSG00000004139	607732
ENSG00000004399	604282
ENSG00000004455	103020
ENSG00000004455	267500
ENSG00000004468	107270
ENSG00000004478	600611
ENSG00000004487	609132
ENSG00000004534	606886
ENSG00000004660	611411
ENSG00000004700	600537
ENSG00000004776	610695
ENSG00000004779	603836
ENSG00000004799	602527
ENSG00000004809	608276
ENSG00000004838	607070
ENSG00000004846	611785
ENSG00000004848	300004
ENSG00000004848	300215
ENSG00000004848	300382
ENSG00000004848	300419
ENSG00000004848	308350
ENSG00000004848	309510
ENSG00000004864	603471
ENSG00000004864	603859
ENSG00000004864	605814
ENSG00000004866	600833
ENSG00000004897	116946
ENSG00000004939	109270
ENSG00000004939	110500
ENSG00000004939	112010
ENSG00000004939	112050
ENSG00000004939	130600
ENSG00000004939	179800
ENSG00000004939	601550
ENSG00000004939	601551
ENSG00000004939	602722
ENSG00000004939	611162
ENSG00000004939	611590
ENSG00000004939	612653
ENSG00000004948	114131
ENSG00000004948	166710
ENSG00000004961	300056
ENSG00000004961	309801
ENSG00000004975	602151
ENSG00000005001	609343
ENSG00000005007	601430
ENSG00000005020	605215
ENSG00000005022	300150
ENSG00000005073	142958
ENSG00000005073	605432
ENSG00000005075	604150
ENSG00000005102	600147
ENSG00000005108	612249
ENSG00000005156	600940
ENSG00000005175	611477
ENSG00000005187	145505
ENSG00000005194	608943
ENSG00000005206	608239
ENSG00000005249	176912
ENSG00000005302	300609
ENSG00000005339	180849
ENSG00000005339	600140
ENSG00000005379	610764
ENSG00000005381	104300
ENSG00000005381	254600
ENSG00000005381	606989
ENSG00000005421	168820
ENSG00000005421	612633
ENSG00000005436	189901
ENSG00000005469	606090
ENSG00000005471	147480
ENSG00000005471	171060
ENSG00000005471	600803
ENSG00000005471	602347
ENSG00000005483	608444
ENSG00000005513	605923
ENSG00000005700	606457
ENSG00000005801	602187
ENSG00000005810	610392
ENSG00000005812	605653
ENSG00000005844	153370
ENSG00000005882	602525
ENSG00000005884	605025
ENSG00000005889	314980
ENSG00000005893	300257
ENSG00000005893	309060
ENSG00000005955	612275
ENSG00000005961	273800
ENSG00000005961	607759
ENSG00000005981	605761
ENSG00000006007	605943
ENSG00000006016	272430
ENSG00000006016	601378
ENSG00000006016	604237
ENSG00000006025	606735
ENSG00000006047	611447
ENSG00000006059	602761
ENSG00000006062	604655
ENSG00000006071	125853
ENSG00000006071	240800
ENSG00000006071	256450
ENSG00000006071	600509
ENSG00000006071	602485
ENSG00000006071	606176
ENSG00000006071	610374
ENSG00000006074	603757
ENSG00000006075	182283
ENSG00000006075	609423
ENSG00000006114	607291
ENSG00000006116	606403
ENSG00000006125	601025
ENSG00000006128	162320
ENSG00000006194	604191
ENSG00000006210	601880
ENSG00000006283	604065
ENSG00000006327	605914
ENSG00000006377	600030
ENSG00000006432	600136
ENSG00000006451	179550
ENSG00000006453	611877
ENSG00000006468	600541
ENSG00000006468	612219
ENSG00000006530	610345
ENSG00000006606	604697
ENSG00000006606	610247
ENSG00000006611	276900
ENSG00000006611	276904
ENSG00000006611	602092
ENSG00000006611	605242
ENSG00000006625	137170
ENSG00000006634	604281
ENSG00000006638	188070
ENSG00000006652	603502
ENSG00000006659	607260
ENSG00000006695	220110
ENSG00000006695	256000
ENSG00000006695	602125
ENSG00000006704	194050
ENSG00000006704	604318
ENSG00000006712	610506
ENSG00000006715	605485
ENSG00000006744	176807
ENSG00000006744	605367
ENSG00000006747	613416
ENSG00000006756	300002
ENSG00000006757	300102
ENSG00000006788	603487
ENSG00000006831	607946
ENSG00000006837	608459
ENSG00000007038	608159
ENSG00000007047	606495
ENSG00000007062	603786
ENSG00000007062	604365
ENSG00000007062	608051
ENSG00000007062	612095
ENSG00000007062	612657
ENSG00000007168	247200
ENSG00000007168	601545
ENSG00000007168	607432
ENSG00000007171	145500
ENSG00000007171	163730
ENSG00000007171	248310
ENSG00000007171	611162
ENSG00000007174	603330
ENSG00000007202	610664
ENSG00000007216	604148
ENSG00000007237	603127
ENSG00000007255	610396
ENSG00000007264	600038
ENSG00000007306	163980
ENSG00000007312	147245
ENSG00000007312	612692
ENSG00000007314	168300
ENSG00000007314	170400
ENSG00000007314	170500
ENSG00000007314	603967
ENSG00000007314	608390
ENSG00000007314	613345
ENSG00000007350	300044
ENSG00000007372	106210
ENSG00000007372	120200
ENSG00000007372	120430
ENSG00000007372	129750
ENSG00000007372	136520
ENSG00000007372	148190
ENSG00000007372	165550
ENSG00000007372	206700
ENSG00000007372	604219
ENSG00000007372	604229
ENSG00000007372	607108
ENSG00000007392	607782
ENSG00000007402	607082
ENSG00000007516	604009
ENSG00000007541	605754
ENSG00000007866	603170
ENSG00000007908	131210
ENSG00000007908	145500
ENSG00000007908	161950
ENSG00000007933	136132
ENSG00000007933	602079
ENSG00000007944	610082
ENSG00000007952	300225
ENSG00000007968	600426
ENSG00000008018	602017
ENSG00000008056	300491
ENSG00000008056	313440
ENSG00000008083	601594
ENSG00000008086	105830
ENSG00000008086	300203
ENSG00000008086	300672
ENSG00000008086	308350
ENSG00000008086	312750
ENSG00000008128	116951
ENSG00000008128	176873
ENSG00000008130	611616
ENSG00000008196	169100
ENSG00000008196	601601
ENSG00000008197	610161
ENSG00000008226	133239
ENSG00000008226	211980
ENSG00000008226	604050
ENSG00000008256	605081
ENSG00000008277	603709
ENSG00000008283	600019
ENSG00000008294	605430
ENSG00000008300	604264
ENSG00000008311	238700
ENSG00000008311	268700
ENSG00000008311	605113
ENSG00000008323	611743
ENSG00000008324	606473
ENSG00000008394	138330
ENSG00000008405	601933
ENSG00000008438	604963
ENSG00000008441	164005
ENSG00000008513	607187
ENSG00000008516	608482
ENSG00000008517	606001
ENSG00000008710	173900
ENSG00000008710	601313
ENSG00000008735	607755
ENSG00000008838	607000
ENSG00000008853	607352
ENSG00000008952	602173
ENSG00000008988	603682
ENSG00000009307	191510
ENSG00000009413	602776
ENSG00000009694	300588
ENSG00000009709	167410
ENSG00000009709	268220
ENSG00000009724	605102
ENSG00000009765	274800
ENSG00000009765	612025
ENSG00000009790	608255
ENSG00000009830	236670
ENSG00000009830	607439
ENSG00000009830	613150
ENSG00000009830	613156
ENSG00000009830	613158
ENSG00000009844	610902
ENSG00000009950	605678
ENSG00000009954	605681
ENSG00000010017	603854
ENSG00000010030	605255
ENSG00000010219	609181
ENSG00000010244	603428
ENSG00000010256	191328
ENSG00000010270	611759
ENSG00000010278	143030
ENSG00000010282	608116
ENSG00000010295	610495
ENSG00000010310	137241
ENSG00000010327	608560
ENSG00000010361	610622
ENSG00000010404	300823
ENSG00000010404	309900
ENSG00000010438	613578
ENSG00000010539	603231
ENSG00000010610	186940
ENSG00000010671	300300
ENSG00000010671	300755
ENSG00000010671	307200
ENSG00000010704	104300
ENSG00000010704	176100
ENSG00000010704	176200
ENSG00000010704	190000
ENSG00000010704	235200
ENSG00000010704	612635
ENSG00000010704	613609
ENSG00000010810	137025
ENSG00000010818	143054
ENSG00000010932	136130
ENSG00000011007	600786
ENSG00000011021	602726
ENSG00000011028	612264
ENSG00000011052	156491
ENSG00000011083	606205
ENSG00000011105	613137
ENSG00000011114	610386
ENSG00000011132	604262
ENSG00000011143	209900
ENSG00000011143	249000
ENSG00000011143	609883
ENSG00000011198	275630
ENSG00000011198	604780
ENSG00000011201	308700
ENSG00000011243	609475
ENSG00000011260	612816
ENSG00000011275	609948
ENSG00000011304	600693
ENSG00000011332	601670
ENSG00000011347	604146
ENSG00000011376	604544
ENSG00000011405	603601
ENSG00000011422	173391
ENSG00000011465	125255
ENSG00000011465	610048
ENSG00000011485	600658
ENSG00000011566	604921
ENSG00000011590	605859
ENSG00000011600	221770
ENSG00000011600	604142
ENSG00000011638	611304
ENSG00000011677	305660
ENSG00000012048	113705
ENSG00000012048	114480
ENSG00000012048	604370
ENSG00000012061	126380
ENSG00000012061	610758
ENSG00000012124	107266
ENSG00000012171	601281
ENSG00000012174	300294
ENSG00000012174	308205
ENSG00000012174	308800
ENSG00000012211	300111
ENSG00000012223	150210
ENSG00000012223	245480
ENSG00000012232	605744
ENSG00000012504	603826
ENSG00000012660	611805
ENSG00000012779	152390
ENSG00000012779	600807
ENSG00000012817	426000
ENSG00000012983	604923
ENSG00000013016	605891
ENSG00000013275	602707
ENSG00000013297	601326
ENSG00000013306	610820
ENSG00000013364	605088
ENSG00000013374	607981
ENSG00000013375	172100
ENSG00000013441	601951
ENSG00000013561	605675
ENSG00000013563	300081
ENSG00000013573	601150
ENSG00000013573	601151
ENSG00000013573	613398
ENSG00000013583	605826
ENSG00000013588	604138
ENSG00000013619	300120
ENSG00000013619	300633
ENSG00000013619	300758
ENSG00000013725	186720
ENSG00000013810	109800
