Ensembl ID	goslim_goa ID
ENSG00000000003	GO:0005575
ENSG00000000003	GO:0005623
ENSG00000000003	GO:0007165
ENSG00000000005	GO:0005575
ENSG00000000005	GO:0005623
ENSG00000000419	GO:0005575
ENSG00000000419	GO:0005622
ENSG00000000419	GO:0005623
ENSG00000000419	GO:0005737
ENSG00000000419	GO:0005783
ENSG00000000419	GO:0005975
ENSG00000000419	GO:0006464
ENSG00000000419	GO:0006629
ENSG00000000419	GO:0009058
ENSG00000000419	GO:0043226
ENSG00000000419	GO:0043234
ENSG00000000419	GO:0044281
ENSG00000000457	GO:0005575
ENSG00000000457	GO:0005622
ENSG00000000457	GO:0005623
ENSG00000000457	GO:0005737
ENSG00000000457	GO:0005794
ENSG00000000457	GO:0006464
ENSG00000000457	GO:0040011
ENSG00000000457	GO:0043226
ENSG00000000457	GO:0048870
ENSG00000000938	GO:0005575
ENSG00000000938	GO:0005622
ENSG00000000938	GO:0005623
ENSG00000000938	GO:0005737
ENSG00000000938	GO:0005829
ENSG00000000938	GO:0006464
ENSG00000000938	GO:0006950
ENSG00000000971	GO:0002376
ENSG00000000971	GO:0005575
ENSG00000000971	GO:0005576
ENSG00000000971	GO:0005615
ENSG00000000971	GO:0006950
ENSG00000001036	GO:0005575
ENSG00000001036	GO:0005576
ENSG00000001036	GO:0005975
ENSG00000001036	GO:0044281
ENSG00000001084	GO:0003013
ENSG00000001084	GO:0005575
ENSG00000001084	GO:0005622
ENSG00000001084	GO:0005623
ENSG00000001084	GO:0005737
ENSG00000001084	GO:0005829
ENSG00000001084	GO:0006520
ENSG00000001084	GO:0006790
ENSG00000001084	GO:0006950
ENSG00000001084	GO:0009058
ENSG00000001084	GO:0034641
ENSG00000001084	GO:0042592
ENSG00000001084	GO:0043234
ENSG00000001084	GO:0044281
ENSG00000001167	GO:0005575
ENSG00000001167	GO:0005622
ENSG00000001167	GO:0005623
ENSG00000001167	GO:0005634
ENSG00000001167	GO:0005654
ENSG00000001167	GO:0006350
ENSG00000001167	GO:0009058
ENSG00000001167	GO:0034641
ENSG00000001167	GO:0043226
ENSG00000001167	GO:0043234
