Ensembl ID	RFAM_transcript_name ID
ENSG00000194270	Y_RNA.1-201
ENSG00000194297	U1.1-201
ENSG00000194647	U1.2-201
ENSG00000195401	Y_RNA.2-201
ENSG00000199196	SNORA25.1-201
ENSG00000199197	7SK.1-201
ENSG00000199200	Y_RNA.3-201
ENSG00000199201	Y_RNA.4-201
ENSG00000199202	5S_rRNA.1-201
ENSG00000199203	Y_RNA.5-201
ENSG00000199204	Y_RNA.6-201
ENSG00000199214	Y_RNA.7-201
ENSG00000199217	U6.1-201
ENSG00000199218	7SK.2-201
ENSG00000199219	U6.2-201
ENSG00000199220	Y_RNA.8-201
ENSG00000199222	Y_RNA.9-201
ENSG00000199223	Y_RNA.10-201
ENSG00000199224	Y_RNA.11-201
ENSG00000199231	snoU2_19.1-201
ENSG00000199235	U6.3-201
ENSG00000199237	U6.4-201
ENSG00000199240	5S_rRNA.2-201
ENSG00000199241	Y_RNA.12-201
ENSG00000199245	Y_RNA.13-201
ENSG00000199246	U6.5-201
ENSG00000199248	U6.6-201
ENSG00000199251	U6.7-201
ENSG00000199260	U6.8-201
ENSG00000199262	snoZ39.1-201
ENSG00000199263	Y_RNA.14-201
ENSG00000199272	U6.9-201
ENSG00000199273	Y_RNA.15-201
ENSG00000199276	5S_rRNA.3-201
ENSG00000199279	U6.10-201
ENSG00000199282	SNORA9.1-201
ENSG00000199283	U1.3-201
ENSG00000199285	Y_RNA.16-201
ENSG00000199286	U6.11-201
ENSG00000199287	Y_RNA.17-201
ENSG00000199289	U6.12-201
ENSG00000199290	Y_RNA.18-201
ENSG00000199291	Y_RNA.19-201
ENSG00000199295	U6.13-201
ENSG00000199299	5S_rRNA.4-201
ENSG00000199301	U6.14-201
ENSG00000199303	Y_RNA.20-201
ENSG00000199306	U6.15-201
ENSG00000199308	U6.16-201
ENSG00000199313	U4.1-201
ENSG00000199315	5S_rRNA.5-201
ENSG00000199318	5S_rRNA.6-201
ENSG00000199319	7SK.3-201
ENSG00000199321	SNORD60.1-201
ENSG00000199322	5S_rRNA.7-201
ENSG00000199325	U4.2-201
ENSG00000199326	U6.17-201
ENSG00000199327	U6.18-201
ENSG00000199331	Y_RNA.21-201
ENSG00000199332	Y_RNA.22-201
