ID	Symbol	Description
ENSG00000249143	AC005908.1	
ENSG00000246331	AC010198.2	
ENSG00000247774	AC008083.1	
ENSG00000245651	AC083805.2	
ENSG00000245867	AC117370.1	
ENSG00000247131	AC025263.1	
ENSG00000251138	AC090502.1	
ENSG00000246363	AC006199.1	
ENSG00000245904	AC025164.1	
ENSG00000246985	AC025260.2	
ENSG00000255794	RMST	rhabdomyosarcoma 2 associated transcript (non-protein coding) [Source:HGNC Symbol;Acc:29893]
ENSG00000245017	AC013418.2	
ENSG00000197041	AC078819.1	
ENSG00000245335	AC079316.1	
ENSG00000247213	AC010206.1	
ENSG00000249550	AC009731.1	
ENSG00000247019	AC090670.1	
ENSG00000248008	AC063943.1	
ENSG00000214271	AC084018.1	
ENSG00000247765	AC068446.2	
ENSG00000187667	WHAMML1	WAS protein homolog associated with actin, golgi membranes and microtubules-like 1 (pseudogene) [Source:HGNC Symbol;Acc:27892]
ENSG00000246005	AL158139.1	
ENSG00000248334	WHAMML2	WAS protein homolog associated with actin, golgi membranes and microtubules-like 2 (pseudogene) [Source:HGNC Symbol;Acc:32360]
ENSG00000251145	AL136307.2	
ENSG00000248940	AL031123.2	
ENSG00000247225	AL031123.1	
ENSG00000247276	AL031780.1	
ENSG00000247393	AL024498.1	
ENSG00000251392	AL034372.1	
ENSG00000244922	AL121936.3	
ENSG00000246046	AL009179.1	
ENSG00000248841	AL009179.2	
ENSG00000256802	AC022613.1	
ENSG00000247909	AL669918.1	
ENSG00000215302	AC019322.2	
ENSG00000246066	AC069271.1	
ENSG00000247728	AC026150.6	
ENSG00000246638	AC104759.1	
ENSG00000246981	AL139044.1	
ENSG00000245865	AC134943.1	
ENSG00000250729	AL158035.1	
ENSG00000245439	AL590303.1	
ENSG00000223509	AC135983.2	
ENSG00000248650	AL356534.1	
ENSG00000244952	AC123768.6	
ENSG00000256819	AC099545.2	
ENSG00000234317	AC108724.1	
ENSG00000250007	AC087457.1	
ENSG00000256162	AL109938.1	
ENSG00000232092	AC107204.1	
ENSG00000256575	AC091804.1	
ENSG00000248079	AC015994.1	
ENSG00000245070	AC068765.1	
ENSG00000246840	HYMAI	hydatidiform mole associated and imprinted (non-protein coding) [Source:HGNC Symbol;Acc:5326]
ENSG00000223518	AC019016.1	
ENSG00000249508	AC124945.1	
ENSG00000256956	AL590482.2	
ENSG00000256880	AC112484.1	
ENSG00000204517	AL627443.1	
ENSG00000236914	AC087473.1	
ENSG00000228676	AC069259.1	
ENSG00000232468	AL022069.1	
ENSG00000246863	AC012377.1	
ENSG00000248508	AC021755.4	
ENSG00000245372	AC078799.1	
ENSG00000197522	AC007920.1	
ENSG00000251161	AC025166.1	
ENSG00000247556	AC012652.1	
ENSG00000249796	AC069213.1	
ENSG00000246740	AC039056.1	
ENSG00000246283	AC090510.1	
ENSG00000244879	AC022087.1	
ENSG00000247586	AC021752.1	
ENSG00000231111	AC023906.1	
ENSG00000247886	AC108488.1	
ENSG00000225973	AC018926.1	
ENSG00000247982	AC016525.1	
ENSG00000256965	AC008069.3	
ENSG00000248793	AC013413.1	
ENSG00000255922	AC009406.1	
ENSG00000248894	AC019206.1	
ENSG00000245975	AC090515.1	
ENSG00000245534	AC087385.1	
ENSG00000246813	AC012366.1	
ENSG00000246432	AC010913.1	
ENSG00000250117	AC093162.2	
ENSG00000250262	AC133644.1	
ENSG00000246515	AC092636.1	
ENSG00000247333	AC087632.1	
ENSG00000246943	AC013722.2	
ENSG00000250054	AC005035.2	
ENSG00000250434	AC013564.1	
ENSG00000250457	AC010976.1	
ENSG00000251428	AC087482.1	
ENSG00000245719	AC009292.1	
ENSG00000245949	AC074099.1	
ENSG00000250738	AC007739.1	
ENSG00000245460	AC079305.1	
ENSG00000245750	AC100826.1	
ENSG00000248804	AC087699.1	
ENSG00000248540	AC010931.2	
ENSG00000247240	AC012435.1	
ENSG00000246877	AC019294.4	
ENSG00000244881	AC090984.1	
ENSG00000225273	UBE2Q2P2	ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 2 [Source:HGNC Symbol;Acc:37440]
ENSG00000250988	AC105339.1	small Cajal body-specific RNA 15 (SCARNA15), guide RNA [Source:RefSeq DNA;Acc:NR_003011]
ENSG00000245763	AC022558.1	
ENSG00000245208	AC103876.1	
ENSG00000249487	AC013489.2	
ENSG00000255571	AC133637.1	
ENSG00000245479	AC021422.1	
ENSG00000214432	AC068831.1	
ENSG00000257060	AC091078.2	
ENSG00000248441	AC104260.1	
ENSG00000247809	AC016251.2	
ENSG00000248661	AC087477.1	
ENSG00000251209	AC024651.1	
ENSG00000232386	AC015712.1	
ENSG00000256099	AC090164.1	
ENSG00000249549	AL589182.1	
ENSG00000257056	AL049777.1	
ENSG00000248975	AL079305.1	
ENSG00000250365	AL139353.1	
